ID,阶段,任务,负责人,计划开始,计划结束,依赖,交付物,验收标准,状态,风险与备注
1,需求,拆解题目与评分点,,,,,需求追踪表,每条指标均有测试方法,未开始,
2,架构,确定功率拓扑与控制架构,,,,1,系统框图,接口与故障行为明确,未开始,
3,选型,完成关键器件选型与降额核算,,,,2,BOM初版,关键器件可采购且裕量充分,未开始,
4,硬件,完成原理图与设计评审,,,,3,原理图PDF/源文件,评审清单无阻断项,未开始,
5,硬件,PCB布局布线与制造文件,,,,4,Gerber/BOM/坐标文件,DRC通过且关键回路复核,未开始,
6,固件,建立可编译工程与状态机,,,,2,固件v0.1,上电零输出且可进入待机,未开始,
7,固件,完成ADC/PWM/保护接口,,,,5;6,固件v0.2,低压台架通过基础IO测试,未开始,
8,算法,完成控制算法仿真与初始参数,,,,2,仿真数据与参数表,典型工况稳定且无饱和异常,未开始,
9,通信,完成Modbus寄存器和上位机基础通信,,,,6,协议文档与通信日志,连续1000帧无错误,未开始,
10,联调,无功率与低压限流联调,,,,7;8;9,联调记录,故障与急停能可靠关断,未开始,
11,测试,基础指标测试与回归,,,,10,测试报告v1,基础指标全部通过,未开始,
12,优化,发挥指标与效率/精度优化,,,,11,测试报告v2,发挥指标达到目标,未开始,
13,可靠性,温升/长稳/重复性测试,,,,12,可靠性记录,规定时长无失控和异常漂移,未开始,
14,文档,完成报告/答辩PPT/演示脚本,,,,11,提交材料,参数与实测数据一致,未开始,
15,现场,全流程彩排与备件检查,,,,13;14,彩排记录和装箱清单,规定时间内完整复现,未开始,
